,name,company,year,Price,kms_driven,fuel_type,transmission
601,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel,Manual
602,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel,Manual
603,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Manual
604,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Manual
605,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol,Manual
606,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,Manual
607,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel,Manual
608,Honda Amaze,Honda,2014,299999,37000,Petrol,Manual
609,Honda City,Honda,2011,284999,55000,Petrol,Manual
610,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel,Manual
611,Honda Mobilio,Honda,2014,399999,44000,Petrol,Manual
612,Honda City,Honda,2014,584999,39000,Petrol,Manual
613,Renault Duster,Renault,2015,449999,49000,Diesel,Manual
614,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel,Manual
615,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel,Manual
616,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol,Manual
617,Honda Amaze,Honda,2014,274999,35000,Petrol,Manual
618,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel,Manual
619,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel,Manual
620,Tata Manza Aura,Tata,2012,130000,72000,Diesel,Manual
621,Renault Duster 110,Renault,2012,501000,38000,Diesel,Manual
622,Audi A4 2.0,Audi,2012,1350000,40000,Diesel,Manual
623,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel,Manual
624,Renault Scala RxL,Renault,2015,375000,25000,Diesel,Manual
625,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,Manual
626,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,Manual
627,Hyundai i20,Hyundai,2014,449999,23000,Petrol,Manual
628,Hyundai i10,Hyundai,2012,244999,38000,Petrol,Manual
629,Datsun Redi GO,Datsun,2017,244999,22000,Petrol,Manual
630,Hyundai Accent,Hyundai,2010,99999,45000,Petrol,Manual
631,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel,Manual
632,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol,Manual
633,Honda City 1.5,Honda,2010,240000,400000,Petrol,Manual
634,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,Manual
635,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel,Manual
636,Force Motors Force,Force,2015,580000,3200,Diesel,Manual
637,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel,Manual
638,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,Manual
639,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,Manual
640,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,Manual
641,Honda City ZX,Honda,2008,149000,42000,Petrol,Manual
642,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel,Manual
643,Honda City 1.5,Honda,2010,225000,70000,Petrol,Manual
644,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol,Manual
645,Toyota Etios,Toyota,2011,275000,36000,Diesel,Manual
646,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel,Manual
647,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol,Manual
648,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol,Manual
649,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,Manual
650,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel,Manual
651,Honda City,Honda,2000,65000,80000,Petrol,Manual
652,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol,Manual
653,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol,Manual
654,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol,Manual
655,Honda Jazz S,Honda,2009,169999,24695,Petrol,Manual
656,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol,Manual
657,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel,Manual
658,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol,Manual
659,Renault Duster 85,Renault,2015,715000,65000,Diesel,Manual
660,Honda Brio V,Honda,2012,235000,33000,Petrol,Manual
661,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol,Manual
662,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel,Manual
663,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol,Manual
664,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel,Manual
665,Mercedes Benz A,Mercedes,2013,1500000,14000,Petrol,Manual
666,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel,Manual
667,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol,Manual
668,Renault Kwid RXT,Renault,2015,270000,43000,Petrol,Manual
669,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel,Manual
670,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol,Manual
671,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol,Manual
672,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel,Manual
673,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
674,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol,Manual
675,Tata Nano GenX,Tata,2010,32000,44005,Petrol,Manual
676,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel,Manual
677,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol,Manual
678,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol,Manual
679,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
680,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol,Manual
681,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol,Manual
682,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol,Manual
683,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol,Manual
684,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
685,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel,Manual
686,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol,Manual
687,Tata Zest XE,Tata,2018,480000,103553,Diesel,Manual
688,Tata Sumo Gold,Tata,2014,250000,99000,Diesel,Manual
689,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG,Manual
690,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel,Manual
691,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol,Manual
692,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol,Manual
693,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel,Manual
694,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel,Manual
695,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel,Manual
696,Honda Amaze,Honda,2013,250000,55700,Diesel,Manual
697,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol,Manual
698,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol,Manual
699,Honda Brio VX,Honda,2017,450000,11000,Petrol,Manual
700,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol,Manual
701,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel,Manual
702,Renault Kwid RXT,Renault,2019,370000,1000,Petrol,Manual
703,Jaguar XE XE,Jaguar,2016,2800000,8500,Petrol,Manual
704,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol,Manual
705,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel,Manual
706,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol,Manual
707,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol,Manual
708,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol,Manual
709,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel,Manual
710,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel,Manual
711,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol,Manual
712,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol,Manual
713,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol,Manual
714,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel,Manual
715,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol,Manual
716,Audi A6 2.0,Audi,2012,1599000,11500,Diesel,Manual
717,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol,Manual
718,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol,Manual
719,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Petrol,Manual
720,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol,Manual
721,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol,Manual
722,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol,Manual
723,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel,Manual
724,BMW X1 xDrive20d,BMW,2011,1150000,72000,Diesel,Manual
725,Honda City 1.5,Honda,2009,269000,55000,Petrol,Manual
726,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel,Manual
727,Mahindra XUV500 W6,Mahindra,2014,8500003,45000,Diesel,Manual
728,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol,Manual
729,Force Motors One,Force,2013,550000,140000,Diesel,Manual
730,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol,Manual
731,Hyundai i10,Hyundai,2009,215000,27000,Petrol,Manual
732,Renault Duster 85PS,Renault,2013,401919,57923,Diesel,Manual
733,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol,Manual
734,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol,Manual
735,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel,Manual
736,Jeep Wrangler Unlimited,Jeep,2015,950000,3528,Diesel,Manual
737,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel,Manual
738,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol,Manual
739,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel,Manual
740,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol,Manual
741,Tata Indigo LX,Tata,2016,230000,104000,Diesel,Manual
742,Tata Indigo Marina,Tata,2004,180000,70000,Diesel,Manual
743,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel,Manual
744,Renault Duster 85,Renault,2015,385000,51000,Diesel,Manual
745,Tata Nano LX,Tata,2010,32000,48008,Petrol,Manual
746,Renault Duster 110,Renault,2013,435000,39000,Diesel,Manual
747,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol,Manual
748,Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol,Manual
749,Hyundai i20 Magna,Hyundai,2010,210000,50000,Petrol,Manual
750,Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel,Manual
751,Tata Manza Aqua,Tata,2014,160000,200000,Diesel,Manual
752,Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol,Manual
753,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel,Manual
754,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel,Manual
755,Tata Sumo Gold,Tata,2012,210000,75000,Diesel,Manual
756,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol,Manual
757,Mahindra Scorpio SLX,Mahindra,2008,300000,70000,Diesel,Manual
758,Hyundai Elite i20,Hyundai,2017,550000,15000,Petrol,Manual
759,Toyota Innova 2.5,Toyota,2011,750000,147000,Diesel,Manual
760,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel,Manual
761,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel,Manual
762,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel,Manual
763,Toyota Innova 2.0,Toyota,2012,600000,80000,Diesel,Manual
764,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel,Manual
765,Mahindra XUV500 W10,Mahindra,2016,1065000,41000,Diesel,Manual
766,Toyota Etios Liva,Toyota,2012,350000,85000,Diesel,Manual
767,Hyundai Elite i20,Hyundai,2015,470000,30000,Petrol,Manual
768,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol,Manual
769,Hyundai Eon Era,Hyundai,2013,190000,39700,Petrol,Manual
770,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel,Manual
771,Hyundai Eon Era,Hyundai,2012,188000,38000,Petrol,Manual
772,Hyundai Verna Fluidic,Hyundai,2011,365000,43000,Diesel,Manual
773,Hyundai i20 Magna,Hyundai,2011,240000,42000,Petrol,Manual
774,Tata Indica eV2,Tata,2015,140000,60105,Diesel,Manual
775,Audi Q5 2.0,Audi,2014,2390000,34000,Diesel,Manual
776,Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol,Manual
777,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel,Manual
778,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol,Manual
779,Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,Petrol,Manual
780,Audi A4 2.0,Audi,2016,1900000,44000,Diesel,Manual
781,Tata Zest XE,Tata,2018,450000,102563,Diesel,Manual
782,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel,Manual
783,Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol,Manual
784,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol,Manual
785,Renault Duster,Renault,2014,800000,7400,Diesel,Manual
786,Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel,Manual
787,Volvo S80 Summum,Volvo,2015,1850000,42000,Diesel,Manual
788,Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel,Manual
789,BMW X1,BMW,2011,1000000,34000,Diesel,Manual
790,Mercedes Benz C,Mercedes,2009,1225000,76000,Diesel,Manual
791,Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,Diesel,Manual
792,Ford Figo Petrol,Ford,2019,525000,0,Petrol,Manual
793,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol,Manual
794,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel,Manual
795,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol,Manual
796,Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol,Manual
797,Honda WR V,Honda,2009,250000,60000,Petrol,Manual
798,Renault Duster 110,Renault,2013,490000,38600,Diesel,Manual
799,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol,Manual
800,Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel,Manual
801,Hyundai Eon D,Hyundai,2018,280000,35000,Petrol,Manual
802,Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel,Manual
803,Hyundai Santro AE,Hyundai,2011,165000,45000,Petrol,Manual
804,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel,Manual
805,Hyundai Santro,Hyundai,2003,60000,51000,Petrol,Manual
806,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel,Manual
807,Toyota Fortuner 3.0,Toyota,2013,1499000,97000,Diesel,Manual
808,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol,Manual
809,Hyundai Creta 1.6,Hyundai,2019,1200000,0,Petrol,Manual
810,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol,Manual
811,Hyundai Santro Xing,Hyundai,2007,135000,42000,Petrol,Manual
812,Hyundai i10 Sportz,Hyundai,2011,220000,38000,Petrol,Manual
813,Hyundai Santro Xing,Hyundai,2007,135000,47000,Petrol,Manual
814,Nissan Micra XL,Nissan,2017,430000,62500,Diesel,Manual
815,Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol,Manual
816,Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel,Manual
817,Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol,Manual
818,Hyundai Eon,Hyundai,2014,200000,28000,Petrol,Manual
819,Chevrolet Tavera LS,Chevrolet,2005,130000,68485,Diesel,Manual
820,Tata Tiago Revotorq,Tata,2019,568500,0,Petrol,Manual
821,Mahindra KUV100 K8,Mahindra,2018,560000,8000,Diesel,Manual
822,Hindustan Motors Ambassador,Hindustan,1995,750000,37000,Petrol,Manual
823,Hyundai Santro Xing,Hyundai,2007,135000,46000,Petrol,Manual
824,Fiat Linea Emotion,Fiat,2009,120000,64000,Petrol,Manual
825,Maruti Suzuki Omni,Maruti,2017,240000,8000,Petrol,Manual
826,Mahindra Scorpio S4,Mahindra,2015,795000,63000,Diesel,Manual
827,Mahindra Xylo D2,Mahindra,2009,300000,62000,Diesel,Manual
828,Maruti Suzuki Alto,Maruti,2015,265000,14000,Petrol,Manual
829,Hyundai Eon Magna,Hyundai,2017,300000,1600,Petrol,Manual
830,Maruti Suzuki Swift,Maruti,2011,250000,58000,Diesel,Manual
831,Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol,Manual
832,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel,Manual
833,Tata Indigo eCS,Tata,2016,130000,150000,Diesel,Manual
834,Hyundai Eon D,Hyundai,2013,170000,20000,Petrol,Manual
835,Tata Sumo Gold,Tata,2013,215000,100000,Petrol,Manual
836,Hyundai Elite i20,Hyundai,2017,599999,31000,Petrol,Manual
837,Hyundai Creta,Hyundai,2016,900000,60000,Diesel,Manual
838,Maruti Suzuki Dzire,Maruti,2014,374999,33000,Petrol,Manual
839,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol,Manual
840,Maruti Suzuki Alto,Maruti,2017,225000,12500,Petrol,Manual
841,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel,Manual
842,Mahindra Scorpio VLX,Mahindra,2014,650000,77000,Diesel,Manual
843,Mahindra Xylo E8,Mahindra,2010,375000,40000,Diesel,Manual
844,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol,Manual
845,Mahindra KUV100 K8,Mahindra,2019,560000,2875,Petrol,Manual
846,Ford Endeavor 4x4,Ford,2019,2900000,9000,Diesel,Manual
847,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol,Manual
848,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel,Manual
849,Toyota Innova 2.5,Toyota,2011,750000,75000,Diesel,Manual
850,Maruti Suzuki Alto,Maruti,2016,250000,2450,Petrol,Manual
851,Mahindra Logan,Mahindra,2009,130000,65000,Diesel,Manual
852,Mahindra Scorpio,Mahindra,2011,475000,60123,Diesel,Manual
853,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol,Manual
854,Tata Manza,Tata,2015,100000,100000,Diesel,Manual
855,Toyota Etios G,Toyota,2013,265000,42000,Petrol,Manual
856,Toyota Qualis,Toyota,2003,180000,100000,Diesel,Manual
857,Tata Indica eV2,Tata,2016,50500,91200,Diesel,Manual
858,Tata Zest XE,Tata,2017,290000,120000,Diesel,Manual
859,Tata Indigo eCS,Tata,2016,160000,104000,Diesel,Manual
860,Hyundai Elite i20,Hyundai,2011,290000,40000,Petrol,Manual
861,Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,Diesel,Manual
862,Hyundai Elite i20,Hyundai,2018,510000,2100,Petrol,Manual
863,Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel,Manual
864,Mercedes Benz C,Mercedes,2006,500001,15000,Petrol,Manual
865,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel,Manual
866,Toyota Corolla Altis,Toyota,2009,300000,132000,Petrol,Manual
867,Tata Zest XM,Tata,2018,260000,27000,Diesel,Manual
868,Hyundai New Santro,Hyundai ,2021,553000,3098,Petrol,Manual
869,Maruti Dzire ZXI,Maruti,2021,795000,2274,Petrol,Manual
870,Maruti New Wagon-R,Maruti,2021,584000,24191,CNG,Manual
871,Skoda Rapid,Skoda,2020,822000,47239,Petrol,Manual
872,Hyundai AURA,Hyundai ,2020,757000,37554,CNG,Manual
873,Tata ALTROZ XZ,Tata,2020,730000,27970,Petrol,Manual
874,Maruti Ciaz,Maruti,2019,775000,39980,Petrol,Manual
875,Ford Ecosports,Ford,2019,984000,41273,Diesel,Manual
876,Mahindra XUV 3OO,Mahindra,2021,1169000,7239,Petrol,Manual
877,SKODA SLAVIA,Skoda,2022,1367000,3530,Petrol,Manual
878,KIA SELTOS,Kia,2019,1193000,20838,Petrol,Manual
879,Hyundai New Elantra,Hyundai ,2021,1579000,9088,Petrol,Manual
880,Skoda KUSHAQ,Skoda,2021,1575000,10098,Petrol,Manual
881,Renault TRIBER,Renault,2019,682000,16157,Petrol,Manual
882,Mahindra MARAZZO,Mahindra,2020,1200000,22707,Diesel,Manual
883,Toyota Glanza,Toyota,2019,764000,25239,Petrol,Manual
884,MG HECTOR PLUS,MG,2021,1817000,25192,Diesel,Manual
885,Honda WR-V,Honda,2019,790000,30502,Petrol,Manual
886,Ford FREESTYLE TITANIUM,Ford,2019,610000,39486,Petrol,Manual
887,Mahindra BOLERO NEO,Mahindra,2022,1137000,7235,Diesel,Manual
888,Ford New Figo,Ford,2019,596000,37736,Petrol,Manual
889,Maruti Baleno,Maruti,2019,764000,17274,Petrol,Manual
890,Tata Harrier,Tata,2019,1483000,42666,Diesel,Manual
891,Volkswagen TAIGUN,Volkswagen,2021,1436000,8122,Petrol,Manual
892,Toyota YARIS,Toyota,2021,1163000,20699,Petrol,Manual
893,Maruti S PRESSO,Maruti,2021,540000,25068,CNG,Manual
894,Renault Duster,Renault,2020,1063000,20704,Petrol,Manual
895,Honda Amaze,Honda,2019,601000,22176,Petrol,Manual
896,Hyundai Xcent,Hyundai ,2019,579000,42846,CNG,Manual
897,Volkswagen Polo,Volkswagen,2019,737000,85697,Diesel,Manual
898,Tata PUNCH,Tata,2021,799000,23183,Petrol,Manual
899,Maruti Celerio,Maruti,2019,487000,6452,Petrol,Manual
900,Toyota Etios Liva,Toyota,2019,533000,19659,Petrol,Manual
901,Mahindra XUV500,Mahindra,2019,1055000,36170,Diesel,Manual
902,Mahindra Scorpio S9,Mahindra,2020,1525000,36000,Diesel,Manual
903,Mahindra KUV 100,Mahindra,2020,706000,14966,Petrol,Manual
904,Volkswagen Ameo,Volkswagen,2019,666000,15000,Petrol,Manual
905,Maruti Wagon R,Maruti,2021,643000,12746,CNG,Manual
906,Ford Ecosport,Ford,2020,920000,20000,Diesel,Manual
907,Hyundai Venue,Hyundai,2020,875000,28000,Petrol,Manual
908,Hyundai Aura,Hyundai,2020,757000,68000,CNG,Manual
909,Renault Triber,Renault,2021,750000,30000,Petrol,Manual
910,Maruti Ignis,Maruti,2019,650000,14000,Petrol,Manual
911,Kia Sonet,Kia,2021,1198000,14469,Diesel,Manual
912,Maruti Celerio,Maruti,2022,719000,6872,CNG,Manual
913,Hyundai Xcent,Hyundai,2022,700000,50000,CNG,Manual
914,Maruti Alto 800,Maruti,2021,480000,21556,CNG,Manual
915,Tata Tiago,Tata,2022,837000,9354,CNG,Manual
