name,company,year,Price,kms_driven,fuel_type,transmission
Toyota Corolla H2,Toyota,2003,"2,50,000","1,00,000 kms",Petrol,Automatic
Tata Indigo CS eLS BS IV,Tata,2015,"2,23,000","1,00,000 kms",Diesel,Automatic
Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel,Automatic
Honda City,Honda,2015,"5,99,999","55,000 kms",Petrol,Automatic
Maruti Suzuki Baleno Delta 1.2,Maruti,2016,"5,98,000","22,000 kms",Petrol,Automatic
Maruti Suzuki Dzire LDI,Maruti,2017,"5,88,000","80,000 kms",Diesel,Automatic
Toyota Corolla Altis GL Petrol,Toyota,2010,"3,20,000","58,000 kms",Petrol,Automatic
Toyota Fortuner 3.0 4x2 MT,Toyota,2015,"15,25,000","1,20,000 kms",Diesel,Automatic
Tata Tigor Revotron XZ,Tata,2019,"7,50,000",100 kms,Diesel,Automatic
Maruti Suzuki Ertiga Vxi,Maruti,2015,"6,50,000","75,000 kms",Petrol,Automatic
Honda Mobilio S i DTEC,Honda,2014,"4,99,000","44,000 kms",Diesel,Automatic
Maruti Suzuki Vitara Brezza,Maruti,2017,"8,25,000","36,000 kms",Diesel,Automatic
Maruti Suzuki Swift VXI BSIII,Maruti,2007,"2,30,000","62,000 kms",Petrol,Automatic
Maruti Suzuki Omni Select Variant,Maruti,2014,"2,90,000","6,020 kms",Petrol,Automatic
Tata Indica,Tata,2005,"1,80,000","42,000 kms",Petrol,Automatic
Maruti Suzuki Zen Estilo,Maruti,2010,"2,49,000","35,000 kms",Petrol,Automatic
Maruti Suzuki Wagon R,Maruti,2007,"2,20,000","7,000 kms",Petrol,Automatic
Hyundai Xcent Base 1.1 CRDi,Hyundai,2015,Ask For Price,"1,80,000 kms",Diesel,Automatic
Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,"2,35,000","23,000 kms",Petrol,Automatic
Maruti Suzuki Alto LXi BS III,Maruti,2010,"1,99,000","22,134 kms",Petrol,Automatic
Tata Nano Lx BSIV,Tata,2010,"1,52,000","9,000 kms",Petrol,Automatic
Hyundai Xcent S 1.2,Hyundai,2015,Ask For Price,"35,000 kms",Petrol,Automatic
Honda City 1.5 S MT,Honda,2014,"5,99,000","22,000 kms",Petrol,Automatic
Maruti Suzuki Ritz GENUS VXI,Maruti,2010,"2,49,000","40,000 kms",Petrol,Automatic
Hyundai Eon D Lite Plus,Hyundai,2016,"2,20,000","87,000 kms",Petrol,Automatic
Maruti Suzuki Wagon R VXI BS IV,Maruti,2017,"4,75,000","23,000 kms",Petrol,Automatic
Maruti Suzuki Estilo VXi ABS BS IV,Maruti,2013,"2,80,000","65,000 kms",Petrol,Automatic
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"3,78,000","39,000 kms",Petrol,Automatic
Hyundai Creta 1.6 SX Plus Petrol AT,Hyundai,2016,"10,00,000","8,000 kms",Petrol,Automatic
Maruti Suzuki Ertiga VDi,Maruti,2012,"5,80,000","51,000 kms",Diesel,Automatic
Maruti Suzuki Maruti 800 AC,Maruti,2001,"1,40,000","75,000 kms",Petrol,Automatic
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,"4,40,000","53,000 kms",Petrol,Automatic
Ford Fiesta SXi 1.6 ABS,Ford,2009,"3,50,000","56,400 kms",Petrol,Automatic
Hyundai Verna Fluidic New,Hyundai,2012,"4,50,000","10,000 kms",Diesel,Automatic
Maruti Suzuki Estilo LX BS IV,Maruti,2007,"2,15,000","36,000 kms",Petrol,Automatic
Maruti Suzuki Wagon R LXi BS III,Maruti,2003,"2,30,000","1,33,000 kms",Petrol,Automatic
Maruti Suzuki Wagon R,Maruti,2009,"2,60,000","35,000 kms",Petrol,Automatic
Maruti Suzuki Baleno Sigma 1.2,Maruti,2016,"5,25,000","40,000 kms",Petrol,Automatic
Maruti Suzuki Swift GLAM,Maruti,2009,"2,50,000","45,000 kms",Petrol,Automatic
Hyundai Santro,Hyundai,2000,"1,51,999","88,000 kms",Petrol,Automatic
Chevrolet Beat PS Diesel,Chevrolet,2012,"3,15,000","65,422 kms",Diesel,Automatic
Maruti Suzuki Dzire ZXI,Maruti,2013,"4,80,000","35,000 kms",Petrol,Automatic
Tata Indica V2 DLG,Tata,2005,"1,35,000","1,50,000 kms",Diesel,Automatic
Hyundai i20 Asta 1.2,Hyundai,2010,"4,00,000","10,750 kms",Petrol,Automatic
Tata Nano,Tata,2013,60000,"6,800 kms",Petrol,Manual
Hyundai Verna Fluidic New,Hyundai,2015,"5,30,000","73,000 kms",Diesel,Automatic
Maruti Suzuki Swift Dzire VDi,Maruti,2011,"2,40,000","65,000 kms",Diesel,Automatic
Mahindra XUV500 W10,Mahindra,2018,"12,99,000","40,000 kms",Diesel,Automatic
Hyundai Accent GLE,Hyundai,2006,"1,90,000","55,000 kms",Petrol,Automatic
Datsun Go Plus T O,Datsun,2016,Ask For Price,5 kms,Petrol,Automatic
Chevrolet Spark 1.0 LT,Chevrolet,2011,"2,00,000","27,000 kms",Petrol,Automatic
Toyota Etios Liva GD,Toyota,2012,"4,80,000","20,000 kms",Diesel,Automatic
Chevrolet Enjoy,Chevrolet,2014,"5,90,000","30,201 kms",Diesel,Automatic
BMW 5 Series 530i,BMW,2009,"7,50,000","37,518 kms",Petrol,Automatic
Mahindra Jeep MM 550 XDB,Mahindra,2004,"5,24,000",383 kms,Diesel,Automatic
Chevrolet Cruze LTZ,Chevrolet,2011,"4,50,000","35,000 kms",Diesel,Automatic
Maruti Suzuki Ertiga VDi,Maruti,2013,"5,85,000","52,500 kms",Diesel,Automatic
Maruti Suzuki Omni,Maruti,2012,"2,60,000","14,000 kms",Petrol,Automatic
Tata Zest Quadrajet 1.3,Tata,2017,"2,80,000","90,000 kms",Diesel,Automatic
Tata Indigo CS eLX BS IV,Tata,2016,"2,50,000","1,04,000 kms",Diesel,Automatic
Tata Indigo eCS LX TDI BS III,Tata,2014,"1,95,000","1,95,000 kms",Diesel,Automatic
Tata Indigo eCS LX CR4 BS IV,Tata,2016,"3,30,000","1,04,000 kms",Diesel,Automatic
Commercial Chevrolet Sail Hatchback ca,Commercial,o...,"3,25,000",,,Automatic
Hyundai Eon Magna Plus,Hyundai,2013,"2,85,000","23,000 kms",Petrol,Automatic
Maruti Suzuki Alto K10 LXi CNG,Maruti,2009,"1,90,000","62,000 kms",Petrol,Automatic
Commercial Car Ta,Commercial,Zest,"4,71,500",,,Automatic
Maruti Suzuki Wagon R AX BSIV,Maruti,2010,"3,25,000","40,000 kms",Petrol,Automatic
Maruti Suzuki Ertiga,Maruti,2012,"4,89,700","39,000 kms",Diesel,Automatic
Maruti Suzuki Alto K10 New,Maruti,2017,"4,60,000","9,400 kms",Petrol,Automatic
Hyundai i10 Magna 1.2,Hyundai,2009,"2,70,000","75,000 kms",Petrol,Automatic
Tata Zest XE 75 PS Diesel,Tata,2017,"4,80,000","70,000 kms",Diesel,Automatic
Toyota Corolla Altis GL Petrol,Toyota,2010,"2,85,000","55,000 kms",Petrol,Automatic
Mahindra KUV100 K8 D 6 STR,Mahindra,2018,Ask For Price,"7,500 kms",Diesel,Automatic
Renault Kwid 1.0,Renault,2018,"3,90,000","2,137 kms",Petrol,Automatic
Tata Venture EX 8 STR,Tata,2013,"2,00,000","30,000 kms",Diesel,Automatic
Maruti Suzuki Alto LX BSII,Maruti,2002,Ask For Price,"56,000 kms",Petrol,Automatic
Maruti Suzuki Omni LPG BS IV,Maruti,2012,"2,20,000","1,60,000 kms",LPG,Automatic
Tata Sumo Gold EX BS IV,Tata,2012,"3,10,000","75,000 kms",Diesel,Automatic
Hyundai Verna 1.6 CRDI SX,Hyundai,2018,"9,55,000","42,000 kms",Diesel,Automatic
Mahindra Scorpio 2.6 CRDe,Mahindra,2007,"3,60,000","56,000 kms",Diesel,Automatic
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,"3,55,000","64,000 kms",Petrol,Automatic
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,"4,40,000","25,000 kms",Petrol,Automatic
Ford Ikon 1.6 Nxt,Ford,2003,"1,60,000","50,000 kms",Petrol,Automatic
Tata indigo,Tata,car,"2,50,000",,,Automatic
Nissan Sunny XL,Nissan,2011,"3,30,000","52,000 kms",Petrol,Automatic
Maruti Suzuki Alto 800 Lxi,Maruti,2017,"3,70,000","21,000 kms",Petrol,Automatic
Maruti Suzuki Swift VDi BS IV,Maruti,2012,"3,80,000","48,006 kms",Diesel,Automatic
very good condition tata bolts are av,very,able,"3,00,000",,,Automatic
Sale Hyundai xcent commerc,Sale,no.,Ask For Price,,,Automatic
Hyundai Elite i20 Asta 1.2,Hyundai,2015,"6,00,000","22,000 kms",Petrol,Automatic
Volkswagen Polo Trendline 1.5L D,Volkswagen,2015,"4,50,000","25,000 kms",Diesel,Automatic
Mahindra TUV300 T4 Plus,Mahindra,2016,"6,40,000","29,500 kms",Diesel,Automatic
Hyundai Santro Xing GLS,Hyundai,2014,"2,79,000","57,000 kms",Petrol,Automatic
Maruti Suzuki Ciaz ZXi Plus RS,Maruti,2016,"7,50,000","50,000 kms",Petrol,Automatic
Hyundai Elantra 1.8 S,Hyundai,2012,"5,00,000","65,000 kms",Petrol,Automatic
Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,"1,25,000","46,000 kms",Petrol,Automatic
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2016,"3,80,000","27,000 kms",Petrol,Automatic
Ford EcoSport Trend 1.5L Ti VCT,Ford,2014,"4,65,000","47,000 kms",Petrol,Automatic
Chevrolet Beat Diesel,Chevrolet,2016,"1,79,999","19,336 kms",Diesel,Automatic
Jaguar XF 2.2 Diesel Luxury,Jaguar,2013,"21,90,000","29,000 kms",Diesel,Automatic
BMW 3 Series 320d Sedan,BMW,2011,"10,75,000","35,000 kms",Diesel,Automatic
BMW X1 sDrive20d,BMW,2012,"10,25,000","41,000 kms",Diesel,Automatic
Maruti Suzuki Ertiga LDi,Maruti,2013,"4,75,000","48,000 kms",Diesel,Automatic
Honda City SV,Honda,2014,"4,75,000","34,000 kms",Diesel,Automatic
Honda City 1.5 EXi New,Honda,2005,"1,20,000","68,000 kms",Petrol,Automatic
Mahindra KUV100,Mahindra,2017,"3,60,000","35,000 kms",Diesel,Automatic
Mahindra XUV500 W8,Mahindra,2015,"9,00,000","28,600 kms",Diesel,Automatic
Tata Sumo Gold LX BS IV,Tata,2014,"2,75,000","1,16,000 kms",Diesel,Automatic
Mahindra Scorpio 2.6 SLX,Mahindra,2004,"1,75,000","58,000 kms",Diesel,Automatic
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"14,90,000","42,590 kms",Diesel,Automatic
Volkswagen Jetta Comfortline 1.9 TDI AT,Volkswagen,2009,"4,50,000","54,500 kms",Diesel,Automatic
Audi A4 2.0 TDI 177bhp Premium,Audi,2013,"15,10,000","27,000 kms",Diesel,Automatic
Toyota Corolla Altis VL AT Petrol,Toyota,2014,"7,90,000","29,000 kms",Petrol,Automatic
Chevrolet Beat LT Petrol,Chevrolet,2012,"1,35,000","36,000 kms",Petrol,Automatic
Datsun Redi GO S,Datsun,2018,"2,99,999","7,000 kms",Petrol,Automatic
Mahindra Scorpio SLX,Mahindra,2004,"1,75,000","60,000 kms",Diesel,Automatic
Tata Indigo CS GLS,Tata,2017,"2,70,000","50,000 kms",Diesel,Automatic
Honda City ZX GXi,Honda,2006,"1,80,000","50,000 kms",Petrol,Automatic
Ford EcoSport Trend 1.5L TDCi,Ford,2014,"4,00,000","16,000 kms",Petrol,Automatic
Maruti Suzuki Omni 8 STR BS III,Maruti,2009,85000,"56,000 kms",Petrol,Automatic
Renault Duster RxL Petrol,Renault,2015,"5,50,000","36,000 kms",Petrol,Automatic
Maruti Suzuki Baleno Zeta 1.2,Maruti,2018,"6,90,000","1,000 kms",Petrol,Automatic
Tata Indigo CS eLX BS IV,Tata,2016,"1,10,000","85,000 kms",Diesel,Automatic
Mahindra Scorpio LX BS III,Mahindra,2009,"3,20,000","95,500 kms",Diesel,Automatic
Maruti Suzuki Wagon R LXi BS III,Maruti,2014,"1,30,000","37,458 kms",Petrol,Automatic
Audi A3 Cabriolet 40 TFSI,Audi,2015,"31,00,000","12,516 kms",Petrol,Automatic
Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2009,"1,25,000",00 kms,Petrol,Automatic
I want to sell my commercial car due t,I,o...,"4,75,000",,,Automatic
i want sale my car.no emi....uber atta,i,d...,"3,20,000",,,Automatic
Mahindra Scorpio S4,Mahindra,2015,"8,65,000","30,000 kms",Diesel,Automatic
Mahindra Xylo D2 BS IV,Mahindra,2011,"3,90,000","48,000 kms",Diesel,Automatic
Chevrolet Beat LT Diesel,Chevrolet,2015,"2,15,000","90,000 kms",Diesel,Automatic
Mahindra XUV500 W8,Mahindra,2015,"8,99,000","53,000 kms",Diesel,Automatic
Maruti Suzuki Alto K10 VXi,Maruti,2013,"2,40,000","20,000 kms",Petrol,Automatic
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2014,"2,60,000","1,20,000 kms",Diesel,Automatic
Hyundai Santro Xing XL AT eRLX Euro III,Hyundai,2007,"1,15,000","46,000 kms",Petrol,Automatic
Mahindra Xylo D2 BS IV,Mahindra,2011,"3,90,000","56,000 kms",Diesel,Automatic
Tata Indica V2 DLS BS III,Tata,2009,90000,"30,600 kms",Diesel,Automatic
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2017,"4,24,999","2,550 kms",Petrol,Automatic
Honda City 1.5 E MT,Honda,2005,95000,"41,000 kms",Petrol,Automatic
Honda City 1.5 S Inspire,Honda,2005,"1,15,000","68,000 kms",Petrol,Automatic
Maruti Suzuki Wagon R LX BS III,Maruti,2004,53000,"69,000 kms",Petrol,Automatic
Tata Indica eV2 eXeta eGLX,Tata,2012,85000,"55,000 kms",Diesel,Automatic
Hyundai Eon Era Plus,Hyundai,2014,"2,00,000","28,400 kms",Petrol,Automatic
Maruti Suzuki Swift LDi,Maruti,2015,"4,25,000","42,000 kms",Diesel,Automatic
Hyundai Verna 1.6 CRDI SX Plus AT,Hyundai,2012,"6,00,000","29,000 kms",Diesel,Automatic
Tata Tiago Revotron XM,Tata,2018,"4,30,000","3,500 kms",Petrol,Automatic
Tata Nexon,Tata,2019,Ask For Price,0 kms,Petrol,Automatic
Maruti Suzuki Zen LXi BS III,Maruti,2006,71000,"32,000 kms",Petrol,Automatic
Ford EcoSport Titanium 1.5 TDCi,Ford,2014,"5,90,000","34,000 kms",Diesel,Automatic
Ford Fusion 1.4 TDCi Diesel,Ford,2007,"1,25,000","85,455 kms",Diesel,Automatic
Hyundai Santro,Hyundai,2002,60000,"47,000 kms",Petrol,Automatic
Ford Ikon 1.3 Flair Josh 100,Ford,2008,95000,"46,000 kms",Petrol,Automatic
Tata Indica V2 LS,Tata,2012,"1,15,000","64,000 kms",Diesel,Automatic
Hyundai Santro Xing XL eRLX Euro III,Hyundai,2007,55000,"65,000 kms",Petrol,Automatic
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2014,"3,20,000","41,000 kms",Petrol,Automatic
Toyota Corolla,Toyota,2006,"1,60,000","40,000 kms",Petrol,Automatic
Tata Sumo Grande MKII GX,Tata,2010,"1,30,000","90,000 kms",Diesel,Automatic
Volkswagen Polo Highline1.2L P,Volkswagen,2013,"3,80,000","27,000 kms",Petrol,Automatic
Tata Tiago Revotron XZ,Tata,2017,"4,00,000","31,000 kms",Petrol,Automatic
Maruti Suzuki Swift VDi,Maruti,2009,"1,20,000","90,000 kms",Diesel,Automatic
Chevrolet Beat LS Diesel,Chevrolet,2014,"1,89,000","31,000 kms",Diesel,Automatic
Mahindra Xylo E8 BS IV,Mahindra,2011,"3,65,000","43,000 kms",Diesel,Automatic
Well mentained Tata Sumo,Well,d Ex,"3,80,000",,,Automatic
Maruti Ertiga showroom condition with,Maruti,e...,"4,80,000",,,Automatic
9 SEATER MAHINDRA BOL,9,", Ac",Ask For Price,,,Automatic
Maruti Suzuki swift dzire for sale in,Maruti,d...,"3,60,000",,,Automatic
urgent sell my Mahindra qu,urgent,o c4,"3,50,000",,,Automatic
sell my car Maruti Suzuki Swif,sell,zire,"3,00,000",,,Automatic
Hyunda,Hyundai,cent,Ask For Price,,,Automatic
urgent sale Ta,urgent,Sumo,"2,20,000",,,Automatic
tata,tata,t xe,Ask For Price,,,Automatic
Tata Nano,Tata,2013,60000,"7,000 kms",Petrol,Automatic
Hyundai i10 Magna 1.2 Kappa2,Hyundai,2009,"4,00,000","33,000 kms",Petrol,Automatic
Volkswagen Polo,Volkswagen,2013,"2,99,999","48,000 kms",Diesel,Automatic
Tata Bolt XM Petrol,Tata,2015,"6,00,000","15,000 kms",Petrol,Automatic
Maruti Suzuki Alto,Maruti,2005,"1,00,000","40,000 kms",Petrol,Automatic
Maruti Suzuki Ritz,Maruti,2010,"1,50,000","38,000 kms",Diesel,Automatic
Maruti Suzuki Dzire,Maruti,2009,"2,10,000","42,000 kms",Petrol,Automatic
Hyundai i20 Asta,Hyundai,2014,"4,25,000","31,000 kms",Petrol,Automatic
Tata Indica V2 DLX BS III,Tata,2005,60000,"80,000 kms",Diesel,Automatic
Toyota Innova 2.5 E 8 STR,Toyota,2012,"7,50,000","75,000 kms",Diesel,Automatic
Hyundai i20 Magna 1.2,Hyundai,2011,"2,30,000","47,000 kms",Petrol,Automatic
Mahindra KUV100,Mahindra,2016,"3,80,000","26,500 kms",Petrol,Automatic
Datsun Go Plus,Datsun,2016,"2,85,000","13,900 kms",Petrol,Automatic
Tata Indica V2,Tata,2005,39999,"80,000 kms",Diesel,Automatic
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2016,"3,95,000","20,000 kms",Petrol,Automatic
Maruti Suzuki Alto 800 Lx,Maruti,2019,"4,00,000","1,500 kms",Petrol,Automatic
Any type car avaiabel hare...comercica,Any,r...,"1,70,000",,,Automatic
Maruti Suzuki Alto AX,Maruti,2019,"4,25,000","1,625 kms",Petrol,Automatic
Volkswagen Polo Highline1.2L P,Volkswagen,2017,"5,25,000","45,000 kms",Petrol,Automatic
Maruti Suzuki 800 Std BS III,Maruti,2000,30000,"33,400 kms",Petrol,Automatic
Chevrolet Sail 1.2 LS,Chevrolet,2013,"3,00,000","28,000 kms",Petrol,Automatic
Hyundai Santro AE GLS Audio,Hyundai,2003,60000,"70,000 kms",Petrol,Automatic
Hyundai Eon,Hyundai,2018,"2,60,000","25,000 kms",Petrol,Automatic
Toyota Innova 2.0 G1 Petrol 8seater,Toyota,2019,Ask For Price,"4,000 kms",Petrol,Automatic
Hyundai Getz Prime 1.3 GLX,Hyundai,2009,"1,15,000","20,000 kms",Petrol,Automatic
Hyundai Santro Xing,Hyundai,2004,45000,"1,37,495 kms",Petrol,Automatic
Honda City 1.5 S MT,Honda,2009,"2,70,000","55,000 kms",Petrol,Automatic
Mahindra Quanto C4,Mahindra,2013,"3,25,000","63,000 kms",Diesel,Automatic
Maruti Suzuki Swift Dzire,Maruti,2016,"3,50,000","1,46,000 kms",Diesel,Automatic
Hyundai i20 Select Variant,Hyundai,2011,"2,90,000","40,000 kms",Petrol,Automatic
Maruti Suzuki Dzire,Maruti,2016,"3,25,000","1,50,000 kms",Diesel,Automatic
Honda City VX Petrol,Honda,2016,"8,60,000","95,000 kms",Petrol,Automatic
Hyundai Getz,Hyundai,2006,"1,25,000","80,000 kms",Petrol,Automatic
Maruti Suzuki Alto LXi BS III,Maruti,2005,95000,"65,000 kms",Petrol,Automatic
Skoda Fabia,Skoda,2009,"1,10,000","45,000 kms",Petrol,Automatic
Maruti Suzuki Ritz VXI ABS,Maruti,2011,"2,70,000","50,000 kms",Petrol,Automatic
Tata Indica V2 DLE BS III,Tata,2009,"1,10,000","30,000 kms",Diesel,Automatic
Ta,Tara,zest,"3,10,000",,,Automatic
Mahindra Quanto C8,Mahindra,2013,"3,90,000","40,000 kms",Diesel,Automatic
Chevrolet Sail 1.2 LT ABS,Chevrolet,2014,"1,60,000",Petrol,,Automatic
Renault Kwid CLIMBER,Renault,2021,485000,"19,604",Petrol,Automatic
Maruti Baleno,Maruti,2016,637000,19980,Petrol,Automatic
Tata Nexon,Tata,2021,1004000,48192,Diesel,Automatic
Jeep Compass,Jeep,2017,1099000,30044,Diesel,Automatic
Hyundai Tuscon,Hyundai ,2018,1864000,11865,Diesel,Automatic
Hyundai GRAND I10 NIOS SPORTZ,Hyundai ,2020,687000,33479,Petrol,Automatic
Skoda Rapid,Skoda,2020,980000,27997,Petrol,Automatic
Renault Kiger RXZ,Renault,2021,820000,19077,Petrol,Automatic
Datsun Redi Go,Datsun,2019,397000,6380,Petrol,Automatic
Volkswagen Vento,Volkswagen,2021,1238000,25578,Petrol,Automatic
Nissan MAGNITE,Nissan,2022,1086000,2716,Petrol,Automatic
MG ASTOR SAVVY,MG,2022,1809000,3751,Petrol,Automatic
Hyundai ALCAZAR,Hyundai ,2022,2131000,9699,Petrol,Automatic
Maruti XL6,Maruti,2021,1072000,56623,Petrol,Automatic
Maruti IGNIS,Maruti,2021,797000,15124,Petrol,Automatic
Tata Safari,Tata,2022,2384000,6906,Diesel,Automatic
Land Rover Discovery,Land Rover,2019,4990000,32000,Diesel,Automatic
Mercedes-Benz C-Class Prime C 200,Mercedes,2020,4175000,18000,Petrol,Automatic
Tata Nexon EV Prime XZ Plus LUX,Tata,2021,1525000,20000,Electric,Automatic
Tata Nexon EV Prime XZ Plus,Tata,2022,1499000,7900,Electric,Automatic
Tata Tigor EV XM,Tata,2019,695000,18500,Electric,Automatic
MG ZS EV Exclusive,MG,2021,2025000,16000,Electric,Automatic
Tata Tigor EV XZ Plus,Tata,2021,1085000,9000,Electric,Automatic
MG ZS EV Exclusive,MG,2021,2250000,30045,Electric,Automatic
Honda City VX CVT,Honda,2019,986000,26555,Petrol,Automatic
Volvo XC40,Volvo,2020,3975000,16500,Petrol,Automatic
Volkswagen Vento,Volkswagen,2021,1325000,18449,Petrol,Automatic
Skoda Kodiaq 2.0 TDI Laurin Klement,Skoda,2020,3299000,47000,Diesel,Automatic
 Mahindra XUV700,Mahindra,2022,2425000,15000,Petrol,Automatic
Audi Q2 Premium,Audi,2021,3899000,9700,Petrol,Automatic
Skoda Superb Laurin & klement,Skoda,2022,3850000,8700,Petrol,Automatic
Toyota Glanza,Toyota,2020,880000,353888,Petrol,Automatic
 Mahindra Thar,Mahindra,2022,1799000,9089,Petrol,Automatic
 Ford Endeavour Titanium Plus,Ford,2019,3275000,44125,Diesel,Automatic
Toyota Corolla Altis,Toyota,2019,1490000,16000,Petrol,Automatic
